time       tx         ty         tz      rx      ry      rz      rw 
# [tx,ty,tz] is the translation vector, [rx, ry, rz, rw] is the quaternion
45.20686 81.28729 122.32207 7.98821 -0.00083 -0.00080 -0.71948 0.69451 
45.25686 81.27685 122.02644 7.98838 -0.00062 -0.00060 -0.71948 0.69451 
45.35686 81.25646 121.44958 7.98868 -0.00027 -0.00026 -0.71948 0.69451 
45.45686 81.23653 120.88519 7.98880 -0.00011 -0.00011 -0.71948 0.69451 
45.55686 81.21641 120.31564 7.98878 -0.00009 -0.00009 -0.71948 0.69451 
45.65686 81.19554 119.72493 7.98867 -0.00017 -0.00016 -0.71948 0.69451 
45.75686 81.17321 119.09289 7.98850 -0.00030 -0.00029 -0.71948 0.69451 
45.85686 81.14917 118.41247 7.98838 -0.00040 -0.00039 -0.71948 0.69451 
45.95686 81.12344 117.68402 7.98831 -0.00046 -0.00044 -0.71948 0.69451 
46.05686 81.09603 116.90820 7.98828 -0.00049 -0.00047 -0.71948 0.69451 
46.15686 81.06697 116.08573 7.98826 -0.00050 -0.00048 -0.71948 0.69451 
46.25686 81.03709 115.23968 7.98843 -0.00036 -0.00034 -0.71948 0.69451 
46.35686 81.00725 114.39527 7.98861 -0.00020 -0.00020 -0.71948 0.69451 
46.45686 80.97747 113.55236 7.98872 -0.00011 -0.00011 -0.71948 0.69451 
46.55686 80.94774 112.71098 7.98878 -0.00006 -0.00006 -0.71948 0.69451 
46.65686 80.91807 111.87113 7.98881 -0.00003 -0.00003 -0.71948 0.69451 
46.75686 80.88734 111.00126 7.98858 -0.00022 -0.00022 -0.71948 0.69451 
46.85686 80.85426 110.06502 7.98834 -0.00043 -0.00041 -0.71948 0.69451 
46.95686 80.81909 109.06952 7.98823 -0.00053 -0.00051 -0.71948 0.69451 
47.05686 80.78200 108.01958 7.98819 -0.00056 -0.00054 -0.71948 0.69451 
47.15686 80.74310 106.91854 7.98819 -0.00056 -0.00055 -0.71948 0.69451 
47.25686 80.70248 105.76887 7.98820 -0.00056 -0.00054 -0.71948 0.69451 
47.35686 80.66020 104.57235 7.98821 -0.00054 -0.00052 -0.71948 0.69451 
47.45686 80.61633 103.33033 7.98823 -0.00053 -0.00051 -0.71948 0.69451 
47.55686 80.57088 102.04392 7.98824 -0.00052 -0.00050 -0.71948 0.69451 
47.65686 80.52390 100.71404 7.98825 -0.00051 -0.00049 -0.71948 0.69451 
47.75686 80.47541 99.34145 7.98826 -0.00050 -0.00048 -0.71948 0.69451 
47.85686 80.42544 97.92686 7.98827 -0.00049 -0.00047 -0.71948 0.69451 
47.95686 80.37400 96.47089 7.98828 -0.00048 -0.00046 -0.71948 0.69451 
48.05686 80.32112 94.97416 7.98829 -0.00047 -0.00046 -0.71948 0.69451 
48.15686 80.26690 93.43947 7.98832 -0.00045 -0.00043 -0.71948 0.69451 
48.25686 80.21214 91.88939 7.98848 -0.00031 -0.00030 -0.71948 0.69451 
48.35686 80.15746 90.34198 7.98864 -0.00017 -0.00017 -0.71948 0.69451 
48.45686 80.10291 88.79772 7.98874 -0.00009 -0.00009 -0.71948 0.69451 
48.55686 80.04845 87.25662 7.98879 -0.00005 -0.00005 -0.71948 0.69451 
48.65686 79.99412 85.71870 7.98882 -0.00002 -0.00002 -0.71948 0.69451 
48.75686 79.93963 84.17967 7.98869 -0.00012 0.00010 -0.71948 0.69451 
48.85686 79.88405 82.61943 7.98165 0.00085 0.00301 -0.71948 0.69451 
48.95686 79.82816 81.02953 7.96839 0.00323 0.00588 -0.71944 0.69453 
49.05686 79.77138 79.40404 7.94655 0.00334 0.00618 -0.71942 0.69454 
49.15686 79.71339 77.74360 7.92303 0.00315 0.00593 -0.71942 0.69454 
49.25686 79.65413 76.04796 7.89979 0.00302 0.00576 -0.71942 0.69454 
49.35686 79.59230 74.31628 7.87893 0.00059 0.00678 -0.71940 0.69456 
49.45686 79.53355 72.54977 7.85660 0.00300 0.00443 -0.71939 0.69458 
49.55686 79.47019 70.74934 7.83105 0.00478 0.00585 -0.71943 0.69453 
49.65686 79.40587 68.91250 7.80013 0.00644 0.00593 -0.71948 0.69446 
49.75686 79.33983 67.05344 7.75418 0.01032 0.00976 -0.71945 0.69440 
49.85686 79.27452 65.22318 7.62757 0.03620 0.03574 -0.71864 0.69352 
49.95686 79.20992 63.40048 7.41602 0.05160 0.05029 -0.71779 0.69252 
